"Date","Outside Temperature"
"2021-06-07 12:00:00","57.43"
"2021-06-07 12:05:00","59.79"
"2021-06-07 12:10:00","61.36"
"2021-06-07 12:15:00","62.60"
"2021-06-07 12:20:00","63.50"
"2021-06-07 12:25:00","63.50"
"2021-06-07 12:30:00","62.26"
"2021-06-07 12:35:00","59.34"
"2021-06-07 12:40:00","60.13"
"2021-06-07 12:45:00","62.94"
"2021-06-07 12:50:00","64.29"
"2021-06-07 12:55:00","62.15"
"2021-06-07 13:00:00","64.96"
"2021-06-07 13:05:00","64.40"
"2021-06-07 13:10:00","63.39"
"2021-06-07 13:15:00","66.09"
"2021-06-07 13:20:00","67.44"
"2021-06-07 13:25:00","66.43"
"2021-06-07 13:30:00","65.75"
"2021-06-07 13:35:00","64.85"
"2021-06-07 13:40:00","68.34"
"2021-06-07 13:45:00","68.11"
"2021-06-07 13:50:00","65.41"
"2021-06-07 13:55:00","62.83"
"2021-06-07 14:00:00","63.84"
"2021-06-07 14:05:00","60.69"
"2021-06-07 14:10:00","61.03"
"2021-06-07 14:15:00","60.13"
"2021-06-07 14:20:00","63.16"
"2021-06-07 14:25:00","60.13"
"2021-06-07 14:30:00","59.11"
"2021-06-07 14:35:00","59.23"
"2021-06-07 14:40:00","60.58"
"2021-06-07 14:45:00","60.69"
"2021-06-07 14:50:00","61.36"
"2021-06-07 14:55:00","62.83"
"2021-06-07 15:00:00","63.39"
"2021-06-07 15:05:00","63.50"
"2021-06-07 15:10:00","62.60"
"2021-06-07 15:15:00","64.29"
"2021-06-07 15:20:00","65.30"
"2021-06-07 15:25:00","64.29"
"2021-06-07 15:30:00","65.30"
"2021-06-07 15:35:00","65.08"
"2021-06-07 15:40:00","65.75"
"2021-06-07 15:45:00","66.20"
"2021-06-07 15:50:00","66.43"
"2021-06-07 15:55:00","63.84"
"2021-06-07 16:00:00","63.50"
"2021-06-07 16:05:00","63.05"
"2021-06-07 16:10:00","63.16"
"2021-06-07 16:15:00","64.40"
"2021-06-07 16:20:00","64.06"
"2021-06-07 16:25:00","63.95"
"2021-06-07 16:30:00","63.05"
"2021-06-07 16:35:00","61.81"
"2021-06-07 16:40:00","63.39"
"2021-06-07 16:45:00","62.83"
"2021-06-07 16:50:00","62.38"
"2021-06-07 16:55:00","62.26"
"2021-06-07 17:00:00","61.59"
"2021-06-07 17:05:00","60.91"
"2021-06-07 17:10:00","61.93"
"2021-06-07 17:15:00","61.25"
"2021-06-07 17:20:00","60.24"
"2021-06-07 17:25:00","59.23"
"2021-06-07 17:30:00","59.79"
"2021-06-07 17:35:00","60.13"
"2021-06-07 17:40:00","60.46"
"2021-06-07 17:45:00","59.79"
"2021-06-07 17:50:00","59.56"
"2021-06-07 17:55:00","59.34"
"2021-06-07 18:00:00","59.45"
"2021-06-07 18:05:00","59.34"
"2021-06-07 18:10:00","59.45"
"2021-06-07 18:15:00","58.89"
"2021-06-07 18:20:00","58.44"
"2021-06-07 18:25:00","58.21"
"2021-06-07 18:30:00","57.88"
"2021-06-07 18:35:00","57.43"
"2021-06-07 18:40:00","56.86"
"2021-06-07 18:45:00","56.75"
"2021-06-07 18:50:00","56.75"
"2021-06-07 18:55:00","56.64"
"2021-06-07 19:00:00","56.53"
"2021-06-07 19:05:00","56.30"
"2021-06-07 19:10:00","56.41"
"2021-06-07 19:15:00","55.96"
"2021-06-07 19:20:00","55.85"
"2021-06-07 19:25:00","55.74"
"2021-06-07 19:30:00","54.95"
"2021-06-07 19:35:00","54.84"
"2021-06-07 19:40:00","54.73" 